ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,action,successful,pos_x,pos_y
KEY-20190413CHINC-129,RAW-20190413CHINC-757,20190413CHINC,1,16:16,16:36,244,NC,challenge,0,95.9,43.7
KEY-20190413CHINC-130,RAW-20190413CHINC-759,20190413CHINC,1,16:19,16:39,34,CHI,recovery,\N,27.3,11.9
KEY-20190413CHINC-131,RAW-20190413CHINC-763,20190413CHINC,1,16:21,16:41,92,NC,recovery,\N,71.4,57.6
KEY-20190413CHINC-132,RAW-20190413CHINC-782,20190413CHINC,1,16:43,17:03,140,NC,dribble,1,58.3,5.3
KEY-20190413CHINC-133,RAW-20190413CHINC-789,20190413CHINC,1,16:47,17:07,140,NC,recovery,\N,68.8,10.4
KEY-20190413CHINC-134,RAW-20190413CHINC-792,20190413CHINC,1,16:48,17:08,247,CHI,tackle,1,36.6,56.2
KEY-20190413CHINC-135,RAW-20190413CHINC-793,20190413CHINC,1,16:48,17:08,140,NC,challenge,0,68.4,11.8
KEY-20190413CHINC-136,RAW-20190413CHINC-794,20190413CHINC,1,16:48,17:08,247,CHI,challenge,1,36.6,56.2
KEY-20190413CHINC-137,RAW-20190413CHINC-795,20190413CHINC,1,16:49,17:09,140,NC,foul,\N,67.3,12.5
KEY-20190413CHINC-138,RAW-20190413CHINC-805,20190413CHINC,1,17:22,17:42,92,NC,recovery,\N,11.9,49.3
KEY-20190413CHINC-139,RAW-20190413CHINC-810,20190413CHINC,1,17:33,17:53,54,NC,dribble,1,69.0,59.9
KEY-20190413CHINC-140,RAW-20190413CHINC-831,20190413CHINC,1,17:50,18:10,169,NC,recovery,\N,86.1,25.4
KEY-20190413CHINC-141,RAW-20190413CHINC-839,20190413CHINC,1,17:56,18:16,80,CHI,recovery,\N,5.5,16.9
KEY-20190413CHINC-142,RAW-20190413CHINC-855,20190413CHINC,1,18:17,18:37,54,NC,foul,\N,96.9,55.9
KEY-20190413CHINC-143,RAW-20190413CHINC-860,20190413CHINC,1,18:45,19:05,142,CHI,challenge,0,49.5,15.3
KEY-20190413CHINC-144,RAW-20190413CHINC-861,20190413CHINC,1,18:45,19:05,152,NC,challenge,1,55.5,52.7
KEY-20190413CHINC-145,RAW-20190413CHINC-868,20190413CHINC,1,18:47,19:07,80,CHI,recovery,\N,28.1,20.4
KEY-20190413CHINC-146,RAW-20190413CHINC-873,20190413CHINC,1,18:48,19:08,152,NC,recovery,\N,69.2,49.2
KEY-20190413CHINC-147,RAW-20190413CHINC-875,20190413CHINC,1,18:48,19:08,152,NC,dribble,1,69.2,49.2
KEY-20190413CHINC-148,RAW-20190413CHINC-879,20190413CHINC,1,18:58,19:18,54,NC,dribble,1,79.9,57.2
KEY-20190413CHINC-149,RAW-20190413CHINC-882,20190413CHINC,1,18:59,19:19,142,CHI,challenge,0,16.1,9.8
KEY-20190413CHINC-150,RAW-20190413CHINC-883,20190413CHINC,1,18:59,19:19,142,CHI,tackle,0,16.1,9.8
KEY-20190413CHINC-151,RAW-20190413CHINC-884,20190413CHINC,1,18:59,19:19,54,NC,take_on,1,88.9,58.2
KEY-20190413CHINC-152,RAW-20190413CHINC-892,20190413CHINC,1,19:03,19:23,160,CHI,challenge,1,3.2,29.5
KEY-20190413CHINC-153,RAW-20190413CHINC-894,20190413CHINC,1,19:03,19:23,146,NC,challenge,0,101.8,38.5
KEY-20190413CHINC-154,RAW-20190413CHINC-897,20190413CHINC,1,19:05,19:25,163,CHI,recovery,\N,3.7,22.2
KEY-20190413CHINC-155,RAW-20190413CHINC-903,20190413CHINC,1,19:08,19:28,254,NC,recovery,\N,71.9,45.4
KEY-20190413CHINC-156,RAW-20190413CHINC-906,20190413CHINC,1,19:09,19:29,117,CHI,challenge,1,33.9,15.5
KEY-20190413CHINC-157,RAW-20190413CHINC-907,20190413CHINC,1,19:09,19:29,92,NC,challenge,0,71.1,52.5
KEY-20190413CHINC-158,RAW-20190413CHINC-908,20190413CHINC,1,19:13,19:33,161,CHI,recovery,\N,36.4,8.0
KEY-20190413CHINC-159,RAW-20190413CHINC-927,20190413CHINC,1,19:35,19:55,140,NC,dribble,1,61.2,7.9
KEY-20190413CHINC-160,RAW-20190413CHINC-929,20190413CHINC,1,19:38,19:58,222,CHI,challenge,1,43.7,61.8
KEY-20190413CHINC-161,RAW-20190413CHINC-931,20190413CHINC,1,19:38,19:58,140,NC,challenge,0,61.3,6.2
KEY-20190413CHINC-162,RAW-20190413CHINC-932,20190413CHINC,1,19:38,19:58,222,CHI,tackle,1,43.7,61.8
KEY-20190413CHINC-163,RAW-20190413CHINC-933,20190413CHINC,1,19:38,19:58,140,NC,take_on,0,61.3,6.2
KEY-20190413CHINC-164,RAW-20190413CHINC-953,20190413CHINC,1,20:10,20:30,244,NC,challenge,0,94.5,29.8
KEY-20190413CHINC-165,RAW-20190413CHINC-954,20190413CHINC,1,20:10,20:30,80,CHI,challenge,1,10.5,38.2
KEY-20190413CHINC-166,RAW-20190413CHINC-960,20190413CHINC,1,20:13,20:33,160,CHI,recovery,\N,2.6,35.4
KEY-20190413CHINC-167,RAW-20190413CHINC-968,20190413CHINC,1,20:26,20:46,64,NC,recovery,\N,27.4,25.4
KEY-20190413CHINC-168,RAW-20190413CHINC-979,20190413CHINC,1,20:36,20:56,92,NC,challenge,1,40.0,57.6
KEY-20190413CHINC-169,RAW-20190413CHINC-980,20190413CHINC,1,20:36,20:56,142,CHI,challenge,0,65.0,10.4
KEY-20190413CHINC-170,RAW-20190413CHINC-985,20190413CHINC,1,20:40,21:00,163,CHI,challenge,1,32.3,25.0
KEY-20190413CHINC-171,RAW-20190413CHINC-987,20190413CHINC,1,20:40,21:00,163,CHI,tackle,1,32.3,25.0
KEY-20190413CHINC-172,RAW-20190413CHINC-989,20190413CHINC,1,20:40,21:00,244,NC,challenge,0,72.7,43.0
KEY-20190413CHINC-173,RAW-20190413CHINC-990,20190413CHINC,1,20:42,21:02,34,CHI,recovery,\N,35.7,28.8
KEY-20190413CHINC-174,RAW-20190413CHINC-994,20190413CHINC,1,20:47,21:07,64,NC,recovery,\N,36.5,52.0
